"census.tract","priority"
"001700",-0.1311487896
"000600",-0.0700661618
"000700",-0.2728400117
"001800",-0.4707603731
"000300",-0.3520387797
"000800",-0.2138743818
"000900",-0.2865139856
"002001",-0.1403183576
"002002",-0.3285297552
"013204",-0.2219407303
"002100",-0.0865639779
"002700",-0.3381442064
"002900",-0.1851432588
"001100",-0.3131508647
"003300",-0.7508214462
"003600",-0.2768078004
"003900",-0.9747566386
"004000",-1.4081613816
"004700",-0.9563056555
"005000",-0.434407734
"005900",-0.9302215582
"006400",-0.2664771838
"007000",-0.225649146
"007400",-0.2185621272
"007500",-1.0837003426
"007700",-0.7666186974
"008100",-0.1064684341
"014605",-0.1306610832
"008900",-0.3991604653
"009601",-0.4601116622
"009602",-0.2014005051
"009700",-0.1154354227
"010500",-0.8643223817
"011201",-0.126485697
"011202",-0.1242780576
"011401",-0.3091965236
"011402",-0.2074927948
"012100",-0.8380007707
"012200",-0.3176091647
"012500",-0.1187476399
"012804",-0.146274622
"013201",-0.1768194423
"014606",-1.1349231952
"013301",-0.7855828004
"013302",-0.0849531561
"013400",-0.1615307662
"013800",-0.2409626886
"014100",-0.1578659834
"027704",-1.7457438057
"020804",-1.1098214939
"014700",-0.6654929667
"015100",-0.6056509953
"015400",0
"015601",-0.2496513232
"015602",-1.2113647363
"015603",-0.3339924821
"016901",-0.5388701251
"017010",-1.4528800801
"017300",-0.9562683486
"017600",-1.4239978038
"017700",-1.6359223689
"018701",-0.4964743693
"018702",-0.7648405319
"018901",-0.5713386343
"018902",-0.817605838
"019700",-0.5545658183
"020100",-0.7336223972
"020700",-0.0497515381
"030302",-0.4623206952
"020801",-1.5711021709
"017008",-1.2701082563
"020803",-1.1779110734
"021300",0.0292126747
"022300",-0.3183134051
"022600",-1.3865276585
"023100",-0.4951917023
"023900",-0.578419116
"024700",-0.0725692735
"024800",-1.2039496356
"025100",0.1530556864
"027301",-1.0285031803
"027302",-1.003713701
"030301",0.0557557351
"027702",-1.9556824325
"027900",-1.3866505193
"017005",-1.3157489957
"029102",-1.2746418922
"031901",-0.6072603291
"031902",-0.2328843096
"032300",-0.5931699808
"013203",-0.3413497412
"017007",-1.172624603
"029104",-1.0090888232
"029103",-0.849170503
"014604",-0.6321449598
"017009",-1.052099338
"022800",-0.7297897524
"024401",-1.6009254064
"024402",-1.7114460647
"027705",-1.9685090439
"027706",-1.9564090026
"990100",0
"006700",-1.0426236884
"018100",-1.6955713381
"019800",-1.4416618054
"012805",-0.1799748318
"012806",-0.2941222752
"014607",-0.3677288179
"014608",-0.2562870135
"017011",-1.5277952411
"017012",-1.112663127
"027100",-0.1407152568
"012900",0.7743235328
"014401",-0.1055834198
"009900",1.007426759
"014601",-0.1660477275
"015400",-0.2916073955
"015801",-0.1625566875
"015601",-0.0126246457
"029500",-0.1434720693
"024000",0
"001401",0.27551589
"021703",0.3359196803
"015200",-0.2565860869
"022900",-0.1279605677
"016100",-0.3337307478
"024700",0.1520513095
"016300",-0.2506157538
"020600",-0.3037320869
"016500",-0.5596606361
"018300",-0.5297083118
"018000",0.0405361579
"016002",-0.164396602
"016700",-0.530613403
"017500",-0.3376766507
"024900",0.5663895136
"021900",0.1672642123
"017000",0.1751641118
"016900",-0.4213575629
"023900",-0.5050033929
"017100",-0.5926862917
"018100",-0.5436944555
"020102",0.0828016114
"017402",-0.0899731549
"028700",-0.03425331
"000201",0.158182487
"016400",-0.0870094966
"018200",-0.0305262087
"022301",-0.1298956038
"018500",-0.4673673979
"021000",-0.5460464851
"027700",-0.3368600113
"023502",-0.1403726305
"022102",-0.06875291
"019701",-0.214713781
"019500",-0.6459473911
"018900",-0.4281425447
"024100",-0.3178449531
"019000",-0.237250338
"020101",-0.3551036206
"021400",-0.316253214
"020800",-0.2646000554
"018800",-0.2635249114
"023000",-0.2753575437
"026300",0.0397756165
"022400",-0.0545884668
"008700",0.6434319265
"023700",-0.1043950474
"024500",-0.1169261141
"010601",-0.0052459484
"022200",0.628385094
"024302",-0.5785643139
"021200",-0.0015427374
"022500",-0.212025289
"011401",0.1754658815
"023200",-0.5327100001
"009600",0.8776727923
"011203",0.3663344293
"030300",0.3969317138
"023300",0.0034000474
"022302",-0.1602359854
"025300",0.0320077181
"020901",-0.2469221033
"023600",-0.3344704988
"030900",0.0079532886
"025100",0.2961948255
"025500",-0.1057622348
"026700",-0.5413580538
"028100",-0.2911676653
"029100",0.2889660771
"029700",0
"020701",-0.4476801994
"028300",0.0437571499
"006200",-0.0064877313
"002500",0.0332288892
"005800",0.7960809858
"006000",-0.0906288903
"022600",-0.3634119316
"009000",0.1076639948
"002202",0.4268580574
"011500",0.839015003
"027500",-0.3583350804
"014700",0.2248546283
"015001",0.5496427534
"015500",-0.023777738
"020300",-0.5520967673
"019702",0.3726871341
"010400",-0.0174489163
"000500",0
"003400",-0.1218696972
"003001",0.5848825546
"000202",-0.0802047305
"014900",-0.0120765812
"000800",0.4664708855
"004100",0.9372429284
"001402",0.159932298
"017300",-0.6442366257
"002601",-0.0292910048
"019400",-0.2385729151
"024301",-0.0316805586
"014300",0
"001502",0.5839882741
"006600",-0.0264474703
"011201",1.104399099
"000100",0
"028500",-0.3141980429
"003601",-0.1722197027
"012200",-0.2603168922
"007000",0.1912237086
"019100",-0.3835524977
"019300",-0.5814002202
"017401",-0.2271039591
"002400",-0.4904050342
"017800",-0.0692264681
"006800",0.4235695655
"003200",0.1663422374
"007500",0.2721067151
"002700",0.4348803822
"000700",0.2558246374
"002900",-0.0764316041
"010200",0.8971892313
"008000",0.3379965023
"012100",0.1749185112
"000600",0.2385138576
"009200",0.346147404
"001200",0.3449841405
"005501",-0.0933671038
"003002",0.4221432052
"003100",0.9692762619
"001300",-0.0505467151
"001800",0.3688189139
"017900",-0.5519766092
"001002",-0.3107661467
"004700",0.9543125242
"014500",0.2731925291
"004800",0.0078449021
"002800",-0.0382431621
"005900",0.1420368359
"005700",0.5926900934
"003602",0.0889952556
"013600",-0.3739786319
"012600",-0.1616879674
"031900",0
"014402",0.0419658759
"003900",0.5116669702
"001501",0.5361298568
"004200",0.2365015966
"002201",0.2876954418
"014802",0.0676109188
"008400",0.6214571764
"002000",-0.1943826985
"001001",0.3120094708
"004300",0.672129213
"008100",0.4713109526
"005502",0.8340574016
"010300",0.0305005294
"010000",0.5618844784
"011100",0.7010171741
"022800",-0.0824627277
"006500",0.2630112553
"001600",0.4092221501
"009300",0.2301881279
"003800",-0.0262586247
"005000",0.1557175664
"006400",0.1218571974
"008300",0.7084565097
"007900",0.5325974159
"022000",-0.1306192111
"004500",0.5720414357
"027900",-0.2034189326
"023400",-0.3625493532
"018700",-0.4323712508
"002100",0.8792776914
"018400",-0.9495789364
"007600",0.7710814461
"016200",0.0912489448
"030700",0.3008627943
"006100",0.3715326169
"009500",1.0879504977
"002602",-0.3081023978
"006900",0.1787393394
"008800",0.1012412782
"007100",0.287500821
"051602",-0.9902128428
"061003",0.5849728773
"061004",0.1692660234
"069601",-0.2879162267
"069602",-0.1689822058
"079601",0.0676822477
"079602",0.159163143
"079801",0.1090937234
"079802",0.0999138487
"105801",-0.7481372768
"990100",0
"016300",0.5821786167
"016400",-0.1824263842
"016500",-0.5200603493
"016700",-0.3511805801
"016800",0.4830982932
"016900",-0.1722883012
"030904",0.1934914244
"008600",0.2190303378
"008700",-0.1412254428
"008800",0.1552211113
"009100",0.165417691
"009400",0.1870259231
"009500",0.1048929044
"009600",-0.1444783746
"009700",0.2329747779
"009800",0.2769680267
"009900",0
"010000",0.0875246795
"010100",0.0280829634
"010200",0.0635728662
"010300",0.1896836154
"010400",0.1974407189
"010500",0.124459279
"010600",0.2691777457
"023501",0.2408439763
"007200",0.2445079233
"003300",0.8879992539
"015002",-0.178266764
"007300",0.0810989304
"010100",0.4042396884
"010900",1.5211882363
"004000",0.0309070567
"027300",-0.2668080297
"009700",0.1733889458
"006700",0.2981184674
"004900",0.7466091778
"018600",-0.0525188919
"009800",0.0478081921
"019900",-0.2466229121
"008200",0.2522021988
"005200",0.9755436908
"005600",0.8915151416
"016600",-0.0584503585
"000900",0.5040308166
"026100",-0.212734922
"013800",-0.2734922248
"017700",-0.8934262418
"011600",-0.0600367476
"011700",0.43238294
"008900",0.314009762
"006300",0.0278241566
"007800",0.1083821395
"019600",-0.1344854649
"026900",-0.3167135306
"014801",0.4795692828
"012800",-0.0695564016
"011800",-0.2945636929
"021800",-0.000692197
"021100",-0.1455470339
"005400",0.8508313572
"012000",-0.1857852641
"013500",0.6443854269
"013700",0.9462083067
"012400",-0.0856348504
"012700",0.2270375519
"013400",-0.1358794674
"020000",0.3515747575
"014200",-0.1835320825
"009100",0.6992501429
"009400",1.1046123282
"011000",-0.0994248007
"010602",0.2025868433
"014000",-0.1687772925
"010800",0.0800041094
"007700",0.3677597693
"007400",1.368191104
"012500",0.9286078696
"011202",0.974851713
"015900",0.1621012465
"015602",0.2436518363
"014602",-0.0803758287
"020500",-0.6213235976
"029300",0.1197529226
"031100",0
"011402",0.6811067251
"013900",0.4224350611
"013300",0.3311028652
"015802",0.060596507
"019200",-0.3299158187
"016800",-0.2057486762
"011300",1.0922177633
"021600",-0.2650020697
"013000",-0.5016836338
"019800",-0.2077906039
"011900",0.6124363369
"016001",-0.2285420412
"015700",0.0620591462
"026500",0.2050518382
"015300",-0.3330635462
"013200",-0.1412429854
"015100",-0.467815685
"013100",0.7135164566
"017200",0.2750003213
"021500",-0.050475423
"025700",0.1909246635
"003700",1.4582147412
"024200",0.0709210421
"025900",-0.0782948187
"029900",0.2980324015
"008601",0.3398696282
"008603",-0.0216711523
"022700",-0.1160815902
"023100",0.0440035618
"023801",-0.1219199518
"023802",-0.1075714827
"031703",-0.5778022763
"031704",-0.6627509061
"004400",-0.6724996997
"008602",0.0715722709
"021303",0.1936806518
"031500",-0.1270286004
"031701",0.0195279668
"031702",0.1670378744
"031900",-0.0615546284
"032100",-0.0868664667
"032300",0.0741175583
"032500",-0.1102584316
"032600",0.0433624398
"032700",0.2613876067
"032800",0.2695796366
"032900",0.1633846119
"033000",0.0770037893
"060800",0.0580476298
"062800",0.3216795112
"061200",-0.4599945815
"062200",0.009650354
"062600",-0.1473285455
"063200",-0.0201133161
"063600",-0.1469573655
"063800",0.1338694183
"064000",-0.1565752806
"064200",0.1001891129
"064400",-0.2077080957
"064600",-0.029549065
"064800",-0.1669278343
"065000",0.844566486
"065200",0.0699763601
"065400",-0.0496855237
"065600",0.0216599448
"065800",-0.0873698516
"087200",0.1124751322
"087401",0.1643693508
"087600",0.1747265604
"087800",-0.1526619276
"088000",0.3314665415
"088200",0.1422659165
"088400",0.2395803864
"088600",0.1862909394
"088800",0.3482095959
"089000",0.2395627703
"089200",0.1569133938
"089400",0.2715215463
"089600",0.0713038351
"089800",-0.0323643287
"090000",0.0128748145
"090200",0.2897662621
"090600",0.0152768936
"090800",0.372120688
"048900",0.3787209751
"049200",-0.8273260753
"049301",0.4067509638
"049302",0.3747036345
"049500",-0.0430184709
"049600",-0.0482365174
"049700",0.4726779003
"049900",0.324181449
"050000",0.1073787967
"050201",0.4695581847
"050202",0.0850304864
"050400",0.1286315381
"050500",-0.2653177022
"050600",0.1106018281
"050700",-0.3353685744
"050800",-0.0106566305
"051000",0.0299682764
"051100",0.8286167798
"066501",-0.2661356528
"066701",-0.1214208746
"066900",-0.4429764057
"067700",-0.301567619
"067900",-0.23423128
"157903",-0.7424736308
"161700",-0.6081026369
"162100",-0.8513845146
"097202",-0.4201101583
"076901",-0.7029488307
"107202",0
"012500",0.378082048
"029400",-0.010973285
"061301",0.248568861
"065703",-0.1556997322
"072300",-0.212878336
"084900",0.2702192753
"086900",0.5176258923
"033100",-0.0727266111
"033300",-0.0944374651
"033500",0.1409234703
"033600",-0.4251745766
"033700",-0.9060798028
"033900",0.1293086307
"034000",0.5422167318
"034100",0.1317432588
"034200",0.2648009488
"034300",-0.1998341696
"034500",-0.09717543
"034700",-0.3272544216
"034900",-0.2140168215
"035000",-0.1802766618
"035100",-0.4855193282
"053400",-0.0030077466
"053500",-0.1320228234
"053700",0.3667862417
"053800",-0.0047411316
"053900",0.069677155
"054200",-0.0553625348
"054300",0
"054400",-0.2764901799
"054500",-0.1405427181
"054700",0.2467333179
"054800",0.0976403923
"054900",0.8410448225
"055000",0.0500023939
"055100",0.5603258695
"055200",0.0831123926
"055300",0.5788314528
"055400",0.3541215931
"055500",0.6145124228
"055600",0.4458290253
"055700",0.8021606465
"055800",0.1788555938
"056000",0.0074658803
"056200",0.2211982576
"056300",0.5004552882
"056400",0.0392866901
"048600",0.196655374
"048800",-0.1014601785
"048900",-0.0525637633
"049000",-0.1489561024
"049100",0.4357682359
"049200",0.2777502141
"066600",0
"075800",0.2398250973
"000100",-0.316036068
"000200",0.6775568775
"000301",-0.4054661332
"000700",-1.4922171285
"000900",0.1506986615
"001100",1.6491007378
"001300",0.2920425947
"001800",0.2766673201
"002000",0.6330219489
"002100",0.5435875392
"018800",0.4706370555
"019000",0.4618432833
"019100",0.3225313912
"019200",-0.2337137215
"019300",-0.1048661268
"019400",0.155639178
"019500",-0.325636203
"019600",0.2842259084
"019700",-0.2390894687
"019800",0.5620076065
"019900",0.1537539864
"020000",0.29015281
"020100",0.2361811325
"020200",0.352003474
"020300",0.7243260572
"020400",0.2989843866
"020500",0.6649673313
"020600",0.2115143746
"020700",-0.2415031039
"020800",-0.5926039183
"021000",0.0078898893
"021200",0.0915135423
"021300",0.0341523438
"021400",0.2599627408
"021500",-0.3316989974
"021600",0.1872065813
"021700",-0.127624201
"021800",0.1574232418
"093000",0.4669718501
"093400",0.2201424464
"093600",0.4275589153
"093800",0.3914298922
"094401",-0.0293938419
"094402",-1.0807935166
"095000",-0.3063154835
"095400",-0.4338534208
"095600",-0.1668146603
"095800",-0.0440772965
"096000",-0.3526783107
"096200",0.187094319
"096400",-0.0705911757
"096600",0.0614493633
"096800",0.1112831767
"097000",-0.1796655861
"097400",0.0041011417
"098200",-0.5136489648
"098400",-0.3273938624
"098600",-0.6626017119
"098800",-0.4036458799
"099000",-0.0849658258
"099200",-0.0889566681
"099400",-0.3110984432
"099600",-0.2530349002
"074600",0.0824860413
